customer_id,month,n_months,days_to_next_max,days_since_last_at_end_of_the_month,days_since_first,sum_in,sum_out,cum_sum_in,cum_sum_out,count_in,count_out,cum_count_in,cum_count_out,cum_count,n_transaction_monthly,balance,count_incoming_bigger_than_100,count_incoming_bigger_than_500,count_incoming_bigger_than_1000,cum_n_incoming_bigger_than_100,cum_n_incoming_bigger_than_500,cum_n_incoming_bigger_than_1000,cum_monday,monday,cum_tuesday,tuesday,cum_wednesday,wednesday,cum_thursday,thursday,cum_friday,friday,cum_saturday,saturday,cum_sunday,sunday,sum_in_relative,sum_out_relative,count_in_relative,count_out_relative,count_tnx_type,month_of_first_transaction,month_of_last_transaction,churn,active_months,days_in_month
477,2018-01-01,1,1.0,0,2,37.07,172.01,37.07,172.01,2.0,9.0,2.0,9.0,11.0,11.0,-134.94,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18,0.82,0.18,0.82,4.0,1.0,0.0,0,1,31
475,2018-01-01,1,2.0,1,2,0.0,89.68,0.0,89.68,0.0,6.0,0.0,6.0,6.0,6.0,-89.68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0,1,31
474,2018-01-01,1,5.0,1,2,0.0,17.94,0.0,17.94,0.0,1.0,0.0,1.0,1.0,1.0,-17.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
473,2018-01-01,1,2.0,0,2,42.77,172.42,42.77,172.42,2.0,9.0,2.0,9.0,11.0,11.0,-129.65,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.8,0.18,0.82,3.0,1.0,0.0,0,1,31
504,2018-01-01,1,1.0,0,2,15.49,181.1,15.49,181.1,1.0,10.0,1.0,10.0,11.0,11.0,-165.61,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.08,0.92,0.09,0.91,2.0,1.0,0.0,0,1,31
472,2018-01-01,1,2.0,1,2,0.0,79.12,0.0,79.12,0.0,5.0,0.0,5.0,5.0,5.0,-79.12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
507,2018-01-01,1,3.0,2,2,0.0,44.59,0.0,44.59,0.0,3.0,0.0,3.0,3.0,3.0,-44.59,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
511,2018-01-01,1,5.0,0,2,0.0,32.78,0.0,32.78,0.0,2.0,0.0,2.0,2.0,2.0,-32.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
550,2018-01-01,1,2.0,0,2,0.0,105.65,0.0,105.65,0.0,6.0,0.0,6.0,6.0,6.0,-105.65,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0,1,31
549,2018-01-01,1,1.0,0,2,20.3,41.09,20.3,41.09,1.0,2.0,1.0,2.0,3.0,3.0,-20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.33,0.67,3.0,1.0,0.0,0,1,31
546,2018-01-01,1,2.0,1,2,11.09,118.42,11.09,118.42,1.0,8.0,1.0,8.0,9.0,9.0,-107.33,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.09,0.91,0.11,0.89,3.0,1.0,0.0,0,1,31
540,2018-01-01,1,1.0,0,2,0.0,315.01,0.0,315.01,0.0,19.0,0.0,19.0,19.0,19.0,-315.01,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0,1,31
537,2018-01-01,1,1.0,0,2,0.0,20.96,0.0,20.96,0.0,1.0,0.0,1.0,1.0,1.0,-20.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
536,2018-01-01,1,1.0,0,2,39.14,205.93,39.14,205.93,2.0,13.0,2.0,13.0,15.0,15.0,-166.79,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.16,0.84,0.13,0.87,4.0,1.0,0.0,0,1,31
532,2018-01-01,1,4.0,1,2,0.0,71.57,0.0,71.57,0.0,4.0,0.0,4.0,4.0,4.0,-71.57,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
531,2018-01-01,1,2.0,1,2,0.0,88.8,0.0,88.8,0.0,5.0,0.0,5.0,5.0,5.0,-88.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
529,2018-01-01,1,9.0,3,2,0.0,11.48,0.0,11.48,0.0,1.0,0.0,1.0,1.0,1.0,-11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
526,2018-01-01,1,3.0,2,2,0.0,32.2,0.0,32.2,0.0,2.0,0.0,2.0,2.0,2.0,-32.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
525,2018-01-01,1,9.0,2,2,0.0,149.7,0.0,149.7,0.0,11.0,0.0,11.0,11.0,11.0,-149.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
45,2018-01-01,1,1.0,0,2,22.84,40.35,22.84,40.35,1.0,2.0,1.0,2.0,3.0,3.0,-17.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.64,0.33,0.67,2.0,1.0,0.0,0,1,31
523,2018-01-01,1,1.0,0,2,0.0,126.97,0.0,126.97,0.0,7.0,0.0,7.0,7.0,7.0,-126.97,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0,1,31
522,2018-01-01,1,6.0,3,2,13.37,0.0,13.37,0.0,1.0,0.0,1.0,0.0,1.0,1.0,13.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,31
521,2018-01-01,1,1.0,0,2,0.0,89.96,0.0,89.96,0.0,5.0,0.0,5.0,5.0,5.0,-89.96,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
520,2018-01-01,1,3.0,2,2,0.0,82.8,0.0,82.8,0.0,6.0,0.0,6.0,6.0,6.0,-82.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
519,2018-01-01,1,6.0,0,2,23.08,0.0,23.08,0.0,1.0,0.0,1.0,0.0,1.0,1.0,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,31
518,2018-01-01,1,28.0,0,2,20.7,100.7,20.7,100.7,1.0,6.0,1.0,6.0,7.0,7.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.17,0.83,0.14,0.86,2.0,1.0,0.0,0,1,31
512,2018-01-01,1,1.0,0,2,76.53,172.16,76.53,172.16,4.0,8.0,4.0,8.0,12.0,12.0,-95.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69,0.33,0.67,3.0,1.0,0.0,0,1,31
508,2018-01-01,1,1.0,0,2,0.0,90.72,0.0,90.72,0.0,5.0,0.0,5.0,5.0,5.0,-90.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
471,2018-01-01,1,4.0,0,2,21.1,21.35,21.1,21.35,1.0,1.0,1.0,1.0,2.0,2.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,1.0,0.0,0,1,31
469,2018-01-01,1,136.0,1,2,0.0,19.85,0.0,19.85,0.0,1.0,0.0,1.0,1.0,1.0,-19.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
467,2018-01-01,1,2.0,0,2,23.09,0.0,23.09,0.0,1.0,0.0,1.0,0.0,1.0,1.0,23.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,31
426,2018-01-01,1,2.0,0,2,17.42,39.35,17.42,39.35,1.0,2.0,1.0,2.0,3.0,3.0,-21.93,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69,0.33,0.67,3.0,1.0,0.0,0,1,31
425,2018-01-01,1,4.0,3,2,0.0,29.12,0.0,29.12,0.0,2.0,0.0,2.0,2.0,2.0,-29.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
423,2018-01-01,1,2.0,1,2,0.0,19.86,0.0,19.86,0.0,1.0,0.0,1.0,1.0,1.0,-19.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
422,2018-01-01,1,3.0,0,2,0.0,89.98,0.0,89.98,0.0,5.0,0.0,5.0,5.0,5.0,-89.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
57,2018-01-01,1,3.0,1,2,0.0,19.14,0.0,19.14,0.0,1.0,0.0,1.0,1.0,1.0,-19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
419,2018-01-01,1,2.0,0,2,76.14,73.1,76.14,73.1,4.0,4.0,4.0,4.0,8.0,8.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.51,0.49,0.5,0.5,3.0,1.0,0.0,0,1,31
417,2018-01-01,1,2.0,1,2,0.0,39.45,0.0,39.45,0.0,2.0,0.0,2.0,2.0,2.0,-39.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
415,2018-01-01,1,2.0,0,2,20.53,37.12,20.53,37.12,1.0,2.0,1.0,2.0,3.0,3.0,-16.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.36,0.64,0.33,0.67,2.0,1.0,0.0,0,1,31
414,2018-01-01,1,3.0,0,2,22.83,13.83,22.83,13.83,1.0,1.0,1.0,1.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.62,0.38,0.5,0.5,2.0,1.0,0.0,0,1,31
413,2018-01-01,1,2.0,1,2,0.0,110.8,0.0,110.8,0.0,8.0,0.0,8.0,8.0,8.0,-110.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0,1,31
412,2018-01-01,1,5.0,0,2,22.87,14.88,22.87,14.88,1.0,1.0,1.0,1.0,2.0,2.0,7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.61,0.39,0.5,0.5,2.0,1.0,0.0,0,1,31
411,2018-01-01,1,1.0,0,2,0.0,21.05,0.0,21.05,0.0,1.0,0.0,1.0,1.0,1.0,-21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
408,2018-01-01,1,2.0,0,2,39.46,125.05,39.46,125.05,2.0,7.0,2.0,7.0,9.0,9.0,-85.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.24,0.76,0.22,0.78,4.0,1.0,0.0,0,1,31
407,2018-01-01,1,2.0,0,2,36.03,114.52,36.03,114.52,2.0,6.0,2.0,6.0,8.0,8.0,-78.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24,0.76,0.25,0.75,2.0,1.0,0.0,0,1,31
404,2018-01-01,1,1.0,0,2,54.52,105.73,54.52,105.73,3.0,6.0,3.0,6.0,9.0,9.0,-51.21,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.34,0.66,0.33,0.67,3.0,1.0,0.0,0,1,31
403,2018-01-01,1,5.0,3,2,0.0,27.73,0.0,27.73,0.0,2.0,0.0,2.0,2.0,2.0,-27.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
58,2018-01-01,1,1.0,0,2,21.35,194.28,21.35,194.28,1.0,10.0,1.0,10.0,11.0,11.0,-172.93,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.09,0.91,3.0,1.0,0.0,0,1,31
